Time (s);Position X (m);Position Y (m);Distance (m);Speed X (m/s);Speed Y (m/s);Speed (m/s)
0.0;0.0;0.0;0.0;-0.046190226689029466;-0.046190226689029466;0.06532284503271317
0.9;-0.046190226689029466;-0.046190226689029466;0.06532284503271318;0.04619022668902946;0.023095113344514733;0.11593203789265707
1.8;0.09238045337805893;0.046190226689029466;0.10328448677279493;-4.625929269271485e-18;0.01539674222967649;0.10808150972112436
2.7;0.0;0.046190226689029466;0.046190226689029466;-0.0692853400335442;0.011547556672257367;0.15034647232438747
3.6;-0.2771413601341768;0.046190226689029466;0.28096418017000924;-0.20323699743172968;-0.018476090675611782;0.27066166057228747
4.5;-1.0161849871586484;-0.09238045337805893;1.0203754584920974;-0.31563321570836805;-0.015396742229676486;0.37182043499216616
5.4;-1.8937992942502082;-0.09238045337805893;1.896051137250502;-0.44210645545213917;-0.026394415250873975;0.49077376538070044
6.3;-3.0947451881649743;-0.18476090675611787;3.100255533393273;-0.7448174053606001;-0.011547556672257363;0.7875875040349818
7.2;-5.958539242884801;-0.09238045337805893;5.959255327401613;-1.0623752138476776;-0.00513224740989216;1.1004259770061198
8.1;-9.5613769246291;-0.046190226689029466;9.561488494574022;-1.376468755333078;-0.004619022668902944;1.4107144421756759
9.0;-13.76468755333078;-0.046190226689029466;13.764765053492955;-1.8337519995544695;6.938893903907229e-19;1.8660844245626997
9.9;-18.383710222233727;-0.046190226689029466;18.38376825006512;-2.3557015611405028;-0.02309511334451473;2.3577117199609043
10.8;-23.46463515802697;-0.18476090675611787;23.465362551897226;-2.877651122726536;-0.032333158682320624;2.8797416063027157
11.700000000000001;-28.776511227265356;-0.2771413601341768;28.77784574540676;-3.2702680495832865;-0.055428272026835354;3.272992536148641
12.6;-32.97982185596704;-0.5080924935793242;32.98373550150669;-3.6767420444467462;-0.03695218135122357;3.678200858684651
13.5;-37.78360543162611;-0.4619022668902947;37.78642868963623;-3.9954546086010487;-0.013857068006708839;3.9975690053346633
14.4;-41.848345380260696;-0.23095113344514734;41.84898265778544;-4.235643787384002;-0.004619022668902945;4.237403398737902
15.3;-45.45118306200499;-0.23095113344514734;45.45176982430859;-4.226405742046197;-0.004619022668902945;4.228170316087896
16.2;-48.22259666334676;-0.1385706800670884;48.22279575874046;-4.0970731073169135;0.00461902266890295;4.099223412026829
17.1;-50.532107997798235;0.0;50.532107997798235;-3.8430268605272517;0.013857068006708845;3.845433579909262
18.0;-52.1949561586033;0.09238045337805893;52.19503791115288;-3.4735050470150157;0.01847609067561179;3.4760271698815934
18.900000000000002;-53.11876069238389;0.1385706800670884;53.11894143644169;-2.993126689449109;0.05080924935793242;3.0010539975586483
19.8;-53.39590205251806;0.3233315868232063;53.39688098866019;-2.4573200598563676;0.0692853400335442;2.480114514556311
20.7;-53.34971182582903;0.4157120402012652;53.35133145854348;-2.0785602010063258;0.07390436270244716;2.104641546146265
21.6;-53.7654238660303;0.23095113344514734;53.76591989280886;-1.7275144781697016;0.03233315868232063;1.7587489526966322
