Time (s),Position X (m),Position Y (m),Distance (m),Speed X (m/s),Speed Y (m/s),Speed (m/s)
0.0,0.0,0.0,0.0,0.28642104717598416,0.5728420943519683,0.6404569316721748
0.7,0.2004947330231889,0.4009894660463778,0.44831985217052234,0.4296315707639763,0.5012368325579722,0.6782547748060677
1.4,0.6014841990695667,0.7017315655811611,0.9242350522801792,0.42963157076397634,0.5251052531559709,0.6908540558506986
2.0999999999999996,0.9022262986043501,1.1027210316275389,1.4247827790533578,0.5728420943519683,0.5907434098004674,0.8368644020669791
2.8,1.6039578641855112,1.6540815474413084,2.3040543820987343,0.687410513222362,0.7303736702987595,1.0143881345462176
3.5,2.405936796278267,2.5563078460456583,3.51044750301729,0.8234605106309546,0.8353947209299538,1.1832955613457015
4.199999999999999,3.4585341446500086,3.5086578279058056,4.926676180046203,0.9717856957756605,1.0024736651159445,1.405115225647861
4.8999999999999995,4.761749909300736,4.912120959068128,6.841286027878235,1.1367335309796873,1.1546348464281861,1.6282575086912403
5.6,6.365707773486248,6.465955139997842,9.073632752645864,1.272982431893263,1.26502629169393,1.8021695892253087
6.3,8.019789320927556,7.969665637671759,11.306307581538267,1.4249447097005212,1.3604999740859247,1.9786877161601715
7.0,9.974612967903647,9.523499818601472,13.790937337772727,1.7113657568765057,1.6397604950825095,2.3756486880885026
7.699999999999999,12.180055031158727,11.879312931623943,17.0138712904942,1.9977868040524895,1.919021016079094,2.7751712243844073
8.399999999999999,14.585991827436994,14.134878678134818,20.311227260696214,2.2985289035872727,2.2269236417932774,3.205058463021453
9.1,16.99192862371526,16.691186524180477,23.81850847426047,2.584949950763257,2.5491473198662598,3.6346191985690695
9.799999999999999,19.69860751952831,19.49811278650512,27.716629312448724,2.857049945580442,2.806926262324645,4.009002606901016
10.5,22.40528641534136,22.20479168231817,31.544407317441017,3.050384152424231,3.0503841524242317,4.318234513023714
11.2,24.811223211619627,24.861346894875425,35.1238290436015,3.2437183592680205,3.2437183592680214,4.591556662629972
11.899999999999999,27.46777842417688,27.61814947394427,38.951778289634035,3.336805199600216,3.3726078304972136,4.748908156312962
12.6,29.723344170687756,30.074209953478334,42.283983882967476,3.4513736184706096,3.4800157231882074,4.905938375645657
13.299999999999999,32.17940465022182,32.32977569998921,45.61500280011315,3.5229788802646054,3.551620984982203,5.006693112349453
14.0,34.635465129755886,34.3848467134769,48.80505228215454,3.5874236158792017,3.6160657205968,5.097790412609235
14.7,37.29202034231314,37.19177297580154,52.66804304599763,3.6089051944174004,3.6661894038525964,5.148202624542462
15.399999999999999,39.84832818835879,39.798204505102994,56.3186145180894,3.6303867729555996,3.6518683514937975,5.153137040951025
16.099999999999998,42.404636034404454,42.25426498463706,59.86297742847609,3.601744668238001,3.6518683514937984,5.133651073572535
16.799999999999997,44.91082019719431,45.061191246961705,63.61990826290128,3.5945841420586016,3.6303867729556005,5.11349540841808
17.5,47.56737540975157,47.61749909300737,67.30587955925392,3.5945841420586007,3.6303867729555996,5.11349540841808
18.2,49.97331220602983,50.27405430556462,70.8859116408909,3.565942037341002,3.565942037341004,5.047819095113544
18.9,52.4293726855639,52.57974373533129,74.25273443769504,3.608905194417401,3.558781511161604,5.072934752862107
19.599999999999998,54.98568053160956,54.98568053160956,77.7614951441165,3.6303867729555996,3.6303867729555988,5.138539267207018
20.299999999999997,57.59211206091101,57.74248311067841,81.55394366567145,3.637547299134998,3.6948315085701964,5.187375106477553
21.0,60.09829622370087,60.248667273468264,85.09822041159724,3.6089051944174004,3.680510456211396,5.157400684125601
21.7,62.55435670323494,62.95534616928131,88.74921494779319,3.6232262467762006,3.6948315085701964,5.177652791823458
22.4,65.2109119157922,65.66202506509437,92.5416909751399,3.6518683514937984,3.737794665646594,5.2281841029987515
23.099999999999998,67.96771449486104,68.41882764416322,96.44037634651087,3.651868351493799,3.6661894038525977,5.17711418119399
23.799999999999997,70.4738986576509,70.72451707392989,99.84251452837839,3.6089051944174004,3.694831508570195,5.168476343923427
24.5,72.82971177067337,73.48131965299874,103.45854848462517,3.6590288776731983,3.680510456211396,5.193548366441135
25.2,75.58651434974222,76.03762749904439,107.21493341520676,3.687670982390795,3.723473613287795,5.243965264115739
25.9,78.24306956229947,78.64405902834585,110.93631486120665,3.7091525609289953,3.744955191825992,5.274331661053248
26.599999999999998,80.94974845811252,81.2003668743915,114.65758307223935,3.730634139467194,3.716313087108394,5.269437502200573
27.299999999999997,83.70655103718137,83.75667472043716,118.41438783680539,3.766436770364193,3.7234736132877932,5.300199038543565
28.0,86.46335361625022,86.31298256648282,122.17136521333751,3.7950788750817908,3.7163130871083956,5.314774697081818
28.7,89.11990882880747,88.96953777904008,125.92830024371405,3.716313087108394,3.6948315085701955,5.246065272976874
29.4,91.22510352555095,91.52584562508574,129.2246103907244,3.637547299134998,3.6518683514937975,5.160669964639048
